Day,Hour,Total hour,Tidal range Y(t) (m)
1,1,0.1,4.993466996
1,1,0.2,4.973885073
1,1,0.3,4.941305455
1,1,0.4,4.895813365
1,1,0.5,4.837527806
1,1,0.6,4.766601244
1,1,0.7,4.683219211
1,1,0.8,4.58759982
1,1,0.9,4.479993193
1,1,1,4.360680807
1,2,1.1,4.229974755
1,2,1.2,4.08821693
1,2,1.3,3.935778131
1,2,1.4,3.77305709
1,2,1.5,3.600479428
1,2,1.6,3.418496542
1,2,1.7,3.227584423
1,2,1.8,3.028242408
1,2,1.9,2.820991875
1,2,2,2.606374873
1,3,2.1,2.384952712
1,3,2.2,2.157304484
1,3,2.3,1.92402555
1,3,2.4,1.685725986
1,3,2.5,1.443028979
1,3,2.6,1.196569199
1,3,2.7,0.946991137
1,3,2.8,0.694947419
1,3,2.9,0.441097095
1,3,3,0.186103917
1,4,3.1,-0.069365401
1,4,3.2,-0.324642925
1,4,3.3,-0.579061254
1,4,3.4,-0.83195526
1,4,3.5,-1.082663835
1,4,3.6,-1.330531616
1,4,3.7,-1.574910706
1,4,3.8,-1.815162361
1,4,3.9,-2.050658669
1,4,4,-2.280784188
1,5,4.1,-2.504937558
1,5,4.2,-2.722533073
1,5,4.3,-2.933002215
1,5,4.4,-3.135795137
1,5,4.5,-3.330382107
1,5,4.6,-3.516254886
1,5,4.7,-3.692928063
1,5,4.8,-3.85994032
1,5,4.9,-4.01685564
1,5,5,-4.163264444
1,6,5.1,-4.298784664
1,6,5.2,-4.423062739
1,6,5.3,-4.535774541
1,6,5.4,-4.636626216
1,6,5.5,-4.725354956
1,6,5.6,-4.801729683
1,6,5.7,-4.865551649
1,6,5.8,-4.916654957
1,6,5.9,-4.954906992
1,6,6,-4.980208761
1,7,6.1,-4.992495158
1,7,6.2,-4.991735121
1,7,6.3,-4.977931722
1,7,6.4,-4.951122144
1,7,6.5,-4.911377591
1,7,6.6,-4.858803093
1,7,6.7,-4.793537229
1,7,6.8,-4.715751764
1,7,6.9,-4.62565119
1,7,7,-4.523472197
1,8,7.1,-4.409483043
1,8,7.2,-4.283982851
1,8,7.3,-4.147300826
1,8,7.4,-3.999795386
1,8,7.5,-3.841853224
1,8,7.6,-3.673888293
1,8,7.7,-3.496340719
1,8,7.8,-3.309675646
1,8,7.9,-3.114382018
1,8,8,-2.910971297
1,9,8.1,-2.699976117
1,9,8.2,-2.481948894
1,9,8.3,-2.257460377
1,9,8.4,-2.02709815
1,9,8.5,-1.791465092
1,9,8.6,-1.551177801
1,9,8.7,-1.306864976
1,9,8.8,-1.059165771
1,9,8.9,-0.808728122
1,9,9,-0.55620705
1,10,9.1,-0.302262943
1,10,9.2,-0.047559834
1,10,9.3,0.207236346
1,10,9.4,0.461459503
1,10,9.5,0.714445127
1,10,9.6,0.965532032
1,10,9.7,1.214064081
1,10,9.8,1.459391908
1,10,9.9,1.700874613
1,10,10,1.937881437
1,11,10.1,2.169793416
1,11,10.2,2.396004992
1,11,10.3,2.615925605
1,11,10.4,2.828981226
1,11,10.5,3.034615867
1,11,10.6,3.232293023
1,11,10.7,3.421497082
1,11,10.8,3.601734666
1,11,10.9,3.772535922
1,11,11,3.933455745
1,12,11.1,4.08407494
1,12,11.2,4.224001318
1,12,11.3,4.352870712
1,12,11.4,4.470347932
1,12,11.5,4.576127634
1,12,11.6,4.669935114
1,12,11.7,4.751527026
1,12,11.8,4.820692006
1,12,11.9,4.877251231
1,12,12,4.921058869
1,13,12.1,4.952002468
1,13,12.2,4.970003232
1,13,12.3,4.975016233
1,13,12.4,4.967030516
1,13,12.5,4.946069122
1,13,12.6,4.912189027
1,13,12.7,4.865480979
1,13,12.8,4.806069265
1,13,12.9,4.734111369
1,13,13,4.649797562
1,14,13.1,4.553350395
1,14,13.2,4.445024113
1,14,13.3,4.325103978
1,14,13.4,4.193905527
1,14,13.5,4.05177373
1,14,13.6,3.899082092
1,14,13.7,3.73623166
1,14,13.8,3.563649978
1,14,13.9,3.381789959
1,14,14,3.191128692
1,15,14.1,2.992166195
1,15,14.2,2.785424099
1,15,14.3,2.571444279
1,15,14.4,2.350787433
1,15,14.5,2.12403161
1,15,14.6,1.891770696
1,15,14.7,1.654612854
1,15,14.8,1.413178933
1,15,14.9,1.16810084
1,15,15,0.920019882
1,16,15.1,0.669585088
1,16,15.2,0.417451513
1,16,15.3,0.164278514
